<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.02	01:00:00	5300.98	5392.62	5300.98	5386.11	20258	0	65
2026.03.02	02:00:00	5386.14	5387.08	5340.50	5346.93	19644	0	65
2026.03.02	03:00:00	5346.82	5346.82	5302.76	5324.39	24069	0	65
2026.03.02	04:00:00	5324.37	5351.37	5316.47	5346.22	16503	0	65
2026.03.02	05:00:00	5346.29	5366.57	5344.02	5366.16	12566	0	54
2026.03.02	06:00:00	5366.11	5366.88	5344.08	5355.81	10144	0	54
2026.03.02	07:00:00	5355.79	5366.09	5340.82	5365.90	11858	0	54
2026.03.02	08:00:00	5365.91	5389.58	5363.45	5387.48	14755	0	36
2026.03.02	09:00:00	5387.47	5419.04	5384.83	5408.39	16620	0	36
2026.03.02	10:00:00	5408.26	5416.68	5391.15	5394.08	16283	0	37
2026.03.02	11:00:00	5394.19	5402.65	5386.06	5391.98	13280	0	37
2026.03.02	12:00:00	5391.97	5400.86	5378.83	5388.94	12278	0	37
2026.03.02	13:00:00	5389.00	5399.83	5375.00	5385.12	11618	0	37
2026.03.02	14:00:00	5385.14	5398.65	5378.92	5396.99	13200	0	37
2026.03.02	15:00:00	5396.86	5416.67	5381.96	5393.86	21242	0	37
2026.03.02	16:00:00	5393.87	5395.02	5305.59	5333.68	28149	0	37
2026.03.02	17:00:00	5333.67	5348.77	5308.13	5315.86	27939	0	37
2026.03.02	18:00:00	5315.80	5315.80	5260.49	5289.91	27375	0	37
2026.03.02	19:00:00	5289.95	5320.50	5286.76	5306.66	21805	0	37
2026.03.02	20:00:00	5306.70	5316.60	5289.46	5315.49	17407	0	37
2026.03.02	21:00:00	5315.48	5334.11	5313.79	5330.32	13093	0	35
2026.03.02	22:00:00	5330.39	5346.28	5328.27	5332.25	19332	0	35
2026.03.02	23:00:00	5332.19	5340.07	5321.30	5321.30	8642	0	35
2026.03.03	01:00:00	5324.23	5347.19	5324.19	5345.82	7514	0	38
2026.03.03	02:00:00	5345.90	5361.93	5336.86	5350.21	9509	0	38
2026.03.03	03:00:00	5350.15	5379.72	5338.45	5341.17	18597	0	38
