<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.02	01:00:00	5300.98	5374.84	5300.98	5347.32	5438	0	65
2026.03.02	01:15:00	5347.33	5357.52	5342.84	5354.59	4466	0	65
2026.03.02	01:30:00	5354.35	5392.62	5352.39	5381.25	5302	0	65
2026.03.02	01:45:00	5381.28	5389.39	5373.21	5386.11	5052	0	65
2026.03.02	02:00:00	5386.14	5387.08	5363.47	5375.20	5676	0	65
2026.03.02	02:15:00	5375.25	5375.33	5348.61	5363.87	5317	0	65
2026.03.02	02:30:00	5363.85	5372.87	5358.87	5364.77	4042	0	65
2026.03.02	02:45:00	5364.86	5365.66	5340.50	5346.93	4609	0	65
2026.03.02	03:00:00	5346.82	5346.82	5315.90	5339.70	6788	0	65
2026.03.02	03:15:00	5339.64	5345.54	5302.76	5307.03	6276	0	65
2026.03.02	03:30:00	5306.94	5338.68	5304.92	5333.53	5698	0	65
2026.03.02	03:45:00	5332.83	5337.64	5321.11	5324.39	5307	0	65
2026.03.02	04:00:00	5324.37	5334.97	5316.47	5327.12	5066	0	65
2026.03.02	04:15:00	5327.21	5336.08	5326.05	5331.04	3504	0	65
2026.03.02	04:30:00	5330.36	5351.19	5328.31	5350.75	4160	0	65
2026.03.02	04:45:00	5350.73	5351.37	5340.65	5346.22	3773	0	65
2026.03.02	05:00:00	5346.29	5357.15	5344.02	5354.93	3774	0	54
2026.03.02	05:15:00	5354.99	5359.27	5349.74	5355.50	3561	0	54
2026.03.02	05:30:00	5355.48	5364.72	5353.50	5361.98	2880	0	54
2026.03.02	05:45:00	5362.07	5366.57	5359.59	5366.16	2351	0	54
2026.03.02	06:00:00	5366.11	5366.88	5355.51	5356.00	2621	0	54
2026.03.02	06:15:00	5356.01	5366.01	5355.76	5363.39	2355	0	54
2026.03.02	06:30:00	5363.40	5364.19	5344.08	5354.05	3013	0	54
2026.03.02	06:45:00	5354.04	5358.27	5350.72	5355.81	2155	0	54
2026.03.02	07:00:00	5355.79	5355.79	5346.16	5350.09	2773	0	54
2026.03.02	07:15:00	5350.07	5354.05	5340.82	5350.65	2385	0	54
2026.03.02	07:30:00	5350.66	5363.47	5348.70	5360.43	3662	0	54
2026.03.02	07:45:00	5360.41	5366.09	5359.11	5365.90	3038	0	54
2026.03.02	08:00:00	5365.91	5379.92	5363.45	5375.28	3708	0	54
2026.03.02	08:15:00	5375.08	5381.36	5373.46	5380.42	3528	0	54
2026.03.02	08:30:00	5380.46	5382.75	5374.06	5375.40	3959	0	54
2026.03.02	08:45:00	5375.41	5389.58	5375.41	5387.48	3560	0	36
2026.03.02	09:00:00	5387.47	5406.59	5384.83	5405.90	4440	0	36
2026.03.02	09:15:00	5405.91	5419.04	5404.34	5408.95	4564	0	50
2026.03.02	09:30:00	5408.39	5411.56	5402.18	5403.14	4030	0	37
2026.03.02	09:45:00	5403.10	5414.43	5402.20	5408.39	3586	0	37
2026.03.02	10:00:00	5408.26	5413.01	5402.64	5409.64	4396	0	37
2026.03.02	10:15:00	5409.57	5415.99	5402.32	5415.69	4099	0	37
2026.03.02	10:30:00	5415.70	5416.68	5396.85	5401.72	3812	0	37
2026.03.02	10:45:00	5401.69	5410.84	5391.15	5394.08	3976	0	37
2026.03.02	11:00:00	5394.19	5400.04	5389.58	5394.51	4099	0	37
2026.03.02	11:15:00	5394.53	5398.59	5386.06	5394.44	3172	0	37
2026.03.02	11:30:00	5394.42	5402.65	5394.07	5396.64	2976	0	37
2026.03.02	11:45:00	5396.62	5397.33	5386.89	5391.98	3033	0	37
2026.03.02	12:00:00	5391.97	5394.38	5378.83	5390.44	3749	0	37
2026.03.02	12:15:00	5390.42	5392.35	5383.65	5389.93	2613	0	37
2026.03.02	12:30:00	5390.00	5400.86	5386.81	5400.41	2916	0	37
2026.03.02	12:45:00	5400.40	5400.79	5381.52	5388.94	3000	0	37
2026.03.02	13:00:00	5389.00	5394.51	5382.18	5388.47	2551	0	37
2026.03.02	13:15:00	5388.40	5397.15	5387.71	5390.39	2706	0	37
2026.03.02	13:30:00	5390.35	5399.83	5388.82	5388.95	2382	0	37
2026.03.02	13:45:00	5388.96	5389.69	5375.00	5385.12	3979	0	37
2026.03.02	14:00:00	5385.14	5398.12	5378.92	5391.51	3947	0	37
2026.03.02	14:15:00	5391.58	5395.96	5384.46	5394.02	3101	0	37
2026.03.02	14:30:00	5394.01	5398.65	5388.81	5396.30	3065	0	37
2026.03.02	14:45:00	5396.39	5398.46	5385.62	5396.99	3087	0	37
2026.03.02	15:00:00	5396.86	5410.10	5381.96	5384.10	5872	0	40
2026.03.02	15:15:00	5384.18	5409.19	5382.60	5401.48	5485	0	37
2026.03.02	15:30:00	5401.52	5416.67	5392.31	5393.09	5401	0	37
2026.03.02	15:45:00	5393.10	5398.10	5389.33	5393.86	4484	0	37
2026.03.02	16:00:00	5393.87	5395.02	5362.40	5375.17	5910	0	37
2026.03.02	16:15:00	5374.99	5376.40	5305.59	5333.27	7293	0	37
2026.03.02	16:30:00	5333.28	5355.67	5306.10	5347.34	7746	0	37
2026.03.02	16:45:00	5347.36	5351.54	5320.64	5333.68	7200	0	37
2026.03.02	17:00:00	5333.67	5346.91	5310.79	5333.79	7265	0	37
2026.03.02	17:15:00	5333.77	5338.94	5317.41	5330.91	7103	0	37
2026.03.02	17:30:00	5330.75	5348.77	5329.97	5342.18	6558	0	37
2026.03.02	17:45:00	5342.16	5345.16	5308.13	5315.86	7013	0	37
2026.03.02	18:00:00	5315.80	5315.80	5260.49	5300.41	7566	0	37
2026.03.02	18:15:00	5300.38	5314.32	5281.61	5309.72	6668	0	37
2026.03.02	18:30:00	5309.60	5311.71	5282.20	5301.25	6707	0	37
2026.03.02	18:45:00	5301.32	5306.15	5289.28	5289.91	6434	0	37
2026.03.02	19:00:00	5289.95	5309.70	5286.76	5298.33	6086	0	37
2026.03.02	19:15:00	5298.34	5312.12	5291.71	5304.41	5669	0	37
2026.03.02	19:30:00	5304.54	5320.50	5303.41	5304.47	5262	0	37
2026.03.02	19:45:00	5304.39	5310.78	5298.12	5306.66	4788	0	37
2026.03.02	20:00:00	5306.70	5308.11	5289.46	5295.11	4814	0	37
2026.03.02	20:15:00	5295.48	5305.96	5293.60	5297.61	5001	0	37
2026.03.02	20:30:00	5297.60	5302.96	5290.67	5302.96	3902	0	37
2026.03.02	20:45:00	5302.95	5316.60	5301.92	5315.49	3690	0	37
2026.03.02	21:00:00	5315.48	5333.18	5313.79	5330.53	3966	0	37
2026.03.02	21:15:00	5330.59	5332.75	5318.68	5330.80	3371	0	37
2026.03.02	21:30:00	5330.81	5334.11	5324.56	5325.11	2993	0	37
2026.03.02	21:45:00	5325.07	5332.13	5322.85	5330.32	2763	0	35
2026.03.02	22:00:00	5330.39	5346.23	5328.27	5337.60	4755	0	35
2026.03.02	22:15:00	5337.59	5346.28	5328.50	5333.50	5600	0	35
2026.03.02	22:30:00	5333.49	5344.70	5332.20	5341.90	4318	0	35
2026.03.02	22:45:00	5341.93	5342.37	5331.24	5332.25	4659	0	35
2026.03.02	23:00:00	5332.19	5339.52	5331.32	5335.16	2574	0	35
2026.03.02	23:15:00	5335.21	5340.07	5331.22	5332.45	2052	0	45
2026.03.02	23:30:00	5332.43	5332.69	5325.83	5331.05	2565	0	45
2026.03.02	23:45:00	5330.93	5330.93	5321.30	5321.30	1451	0	45
2026.03.03	01:00:00	5324.23	5347.19	5324.19	5338.64	2298	0	45
2026.03.03	01:15:00	5338.67	5341.89	5329.22	5336.63	1690	0	38
2026.03.03	01:30:00	5336.64	5336.77	5330.45	5330.80	1453	0	38
2026.03.03	01:45:00	5330.70	5346.65	5330.09	5345.82	2073	0	38
2026.03.03	02:00:00	5345.90	5349.41	5336.86	5348.34	2033	0	38
2026.03.03	02:15:00	5348.35	5358.69	5348.25	5357.72	2470	0	38
2026.03.03	02:30:00	5357.73	5361.93	5348.28	5354.95	2554	0	38
2026.03.03	02:45:00	5354.96	5359.38	5346.14	5350.21	2452	0	38
2026.03.03	03:00:00	5350.15	5371.96	5347.09	5369.32	4572	0	38
2026.03.03	03:15:00	5368.87	5379.72	5365.95	5377.73	3981	0	38
2026.03.03	03:30:00	5377.74	5377.98	5364.31	5364.86	4015	0	38
2026.03.03	03:45:00	5364.71	5365.27	5338.45	5341.17	6029	0	38
2026.03.03	04:00:00	5340.87	5357.15	5332.26	5348.80	5475	0	38
2026.03.03	04:15:00	5348.79	5358.44	5344.13	5358.26	3832	0	38
2026.03.03	04:30:00	5358.22	5365.10	5355.45	5360.79	4178	0	38
2026.03.03	04:45:00	5360.89	5367.94	5359.00	5366.75	3557	0	38
2026.03.03	05:00:00	5366.66	5371.51	5364.93	5366.38	3345	0	38
2026.03.03	05:15:00	5366.34	5373.43	5363.74	5367.37	3242	0	38
2026.03.03	05:30:00	5367.31	5370.52	5365.59	5369.14	1999	0	38
2026.03.03	05:45:00	5369.15	5369.94	5359.23	5366.94	1890	0	38
2026.03.03	06:00:00	5366.95	5367.72	5359.29	5362.07	1818	0	38
2026.03.03	06:15:00	5362.01	5375.48	5359.71	5371.86	2282	0	38
2026.03.03	06:30:00	5371.85	5375.34	5367.24	5369.51	1853	0	38
2026.03.03	06:45:00	5369.62	5369.85	5360.90	5361.26	2575	0	38
2026.03.03	07:00:00	5361.17	5367.06	5354.04	5362.09	2937	0	38
2026.03.03	07:15:00	5362.11	5364.05	5352.91	5358.78	2677	0	38
2026.03.03	07:30:00	5358.71	5359.26	5334.57	5345.08	5208	0	38
2026.03.03	07:45:00	5345.20	5346.60	5305.48	5318.97	6131	0	38
2026.03.03	08:00:00	5318.99	5322.90	5279.30	5289.78	5930	0	38
2026.03.03	08:15:00	5289.68	5319.47	5288.07	5316.68	5216	0	38
2026.03.03	08:30:00	5316.65	5319.13	5295.73	5310.15	5026	0	38
2026.03.03	08:45:00	5310.18	5315.27	5290.81	5310.55	4764	0	38
2026.03.03	09:00:00	5309.50	5318.26	5305.92	5314.84	3426	0	35
2026.03.03	09:15:00	5314.89	5319.96	5310.20	5313.32	3207	0	35
2026.03.03	09:30:00	5313.46	5328.33	5313.46	5326.59	3341	0	35
2026.03.03	09:45:00	5326.44	5331.07	5323.58	5327.62	3407	0	35
2026.03.03	10:00:00	5327.31	5335.87	5319.86	5319.86	4301	0	35
2026.03.03	10:15:00	5320.68	5328.47	5310.89	5311.92	4200	0	35
2026.03.03	10:30:00	5312.01	5313.30	5295.88	5305.08	4866	0	35
2026.03.03	10:45:00	5304.97	5311.59	5290.19	5295.63	4687	0	34
2026.03.03	11:00:00	5295.65	5303.96	5284.13	5296.10	4828	0	35
2026.03.03	11:15:00	5296.14	5302.34	5225.78	5241.65	5694	0	35
2026.03.03	11:30:00	5241.72	5270.41	5240.58	5263.85	5657	0	34
2026.03.03	11:45:00	5263.84	5280.87	5259.89	5274.99	4695	0	34
2026.03.03	12:00:00	5274.90	5287.69	5268.35	5272.80	4400	0	34
2026.03.03	12:15:00	5272.78	5281.13	5265.80	5276.66	4313	0	34
2026.03.03	12:30:00	5276.04	5276.72	5247.31	5260.87	5158	0	34
2026.03.03	12:45:00	5260.92	5260.92	5237.82	5247.97	5798	0	34
2026.03.03	13:00:00	5247.90	5263.92	5160.76	5199.16	6841	0	34
2026.03.03	13:15:00	5198.85	5208.82	5120.81	5126.52	7014	0	34
2026.03.03	13:30:00	5126.65	5143.34	5074.13	5124.89	7880	0	34
2026.03.03	13:45:00	5124.87	5157.64	5123.48	5144.86	7022	0	34
2026.03.03	14:00:00	5144.70	5193.23	5138.50	5192.66	6842	0	38
